시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
SSP3-7.0,2046,36.8,54.9,130.6,8.4,306,76.3,63.2,52.9,79,38,29.6
SSP3-7.0,2047,27,30.8,130.1,8.7,281.6,72.7,53.9,29.9,70.7,37.8,28.5
SSP3-7.0,2048,32.2,38.7,145.5,8.8,283,88.7,74.1,38.9,75.4,37.3,28.6
SSP3-7.0,2049,19.6,38.8,132,8.4,302.8,64.4,48.3,30.2,68.2,36.1,29
SSP3-7.0,2050,26,39.5,142,8.6,304,78.2,58.3,40,75,36.5,28.7
SSP3-7.0,2051,33.6,47.2,147.2,8.7,284.6,86.7,64.4,44.3,86.4,37.2,29.3
SSP3-7.0,2052,29.3,36.3,143.5,8.9,281.7,81.4,62.8,37.2,72.2,38.4,30.3
SSP3-7.0,2053,42.5,44,149.8,8.8,273.5,94,76.4,49.7,78.7,39.8,30.3
SSP3-7.0,2054,40.3,50.8,141.3,8.4,323,91.3,74.7,43.2,85.8,38.8,30
SSP3-7.0,2055,22.9,31.5,137.6,8.3,289.8,77.1,57.9,37.2,76.8,38.2,29.9
SSP3-7.0,2056,53.4,59.4,145.4,8.6,268.9,100.3,83.6,56.6,85.1,38.6,30.1
SSP3-7.0,2057,27.8,21.9,151.7,8.7,297.1,70.2,54.2,29.6,59.1,38.9,28.8
SSP3-7.0,2058,34.1,47.2,147.7,8.2,328.5,88.5,68.1,38.1,84,38.9,30.4
SSP3-7.0,2059,25.3,45.4,129.3,8.3,314.4,78,59,40.7,74.3,37.5,30.3
SSP3-7.0,2060,42.5,47,147.9,8.8,318.9,93.3,74.6,49.3,85,38.4,30.4
SSP3-7.0,2061,40.2,41.8,154.5,8.7,293.2,93.2,76.6,49.4,83.8,39.3,30.1
SSP3-7.0,2062,26.6,39.7,144.2,8.4,300.8,84.2,62.3,42.9,85.2,37.2,29
SSP3-7.0,2063,36.7,48.4,148.9,8.5,310.2,97.6,76.5,53,86.8,38.5,30.3
SSP3-7.0,2064,40.9,61.3,164.7,8.1,332.5,89.7,71.7,54.8,90.3,38.9,30.7
SSP3-7.0,2065,42.1,51.6,148.5,8.5,284.4,95.1,76.6,49.4,88.4,37.8,30.1
SSP3-7.0,2066,40.1,37.2,153.4,8.7,292.8,97.6,80.6,43.9,84.6,37.7,30
SSP3-7.0,2067,52.3,56.1,152.9,8.7,306.7,96.9,89.1,57.4,88.1,39.2,31
SSP3-7.0,2068,37.4,44.2,152.4,8.5,298.9,96.3,76.3,39.6,83.2,37.9,30.7
SSP3-7.0,2069,52.4,57.2,150.5,8.8,297.6,105.5,93.6,59.6,93.4,38.9,30
SSP3-7.0,2070,54.4,68.7,147.6,8.7,313.9,104.6,87.8,65.9,89.7,41.5,31.6
SSP3-7.0,2071,51.3,59.5,150.5,8.4,295.8,100.9,82.8,53.3,93.2,38.8,30.9
SSP3-7.0,2072,46.8,61.6,147.1,8.2,309.9,95,83.2,60.1,95.7,38.3,31.1
