시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
SSP2-4.5,2028,17.3,13.2,128.6,9.5,309.1,54.3,35.4,17.4,57.4,37.5,26.6
SSP2-4.5,2029,20.5,27.7,129.2,9.1,326.7,62,48.4,25.2,59.2,37.4,27.9
SSP2-4.5,2030,25.2,39.5,137.1,8.8,326.5,65.9,50,34.4,75.3,37.6,27.7
SSP2-4.5,2031,20.7,40,139.3,9,278.6,61.9,49.4,33.5,68.4,36.5,28.1
SSP2-4.5,2032,15.3,15.2,136.3,9.4,302.1,50.8,30.6,25.7,52.5,37,27.6
SSP2-4.5,2033,20.6,37.9,132.2,8.7,331,69.5,50.8,31.4,77.1,36.8,27.9
SSP2-4.5,2034,15.9,14.4,126.1,9,293.2,49.2,35.6,17.9,50.4,37.3,26.7
SSP2-4.5,2035,16.3,20.2,128.9,8.7,308.9,52,29.2,15.9,60.4,36.4,28
SSP2-4.5,2036,21.8,37.9,127.1,8.6,317,59.7,49.3,27.3,72.4,36.1,28.1
SSP2-4.5,2037,26,30.2,130.7,9,303.7,55.4,36.6,31.1,61.6,38.4,29.1
SSP2-4.5,2038,24.7,25.7,148.2,9.5,307.5,66.3,49.3,29.3,56.3,38.9,28.1
SSP2-4.5,2039,20.4,33.2,125.8,8.7,314.9,58.4,42.5,21.1,70.1,36.8,27.9
SSP2-4.5,2040,22.2,33.3,130,9.2,290.4,58.8,40.2,33.9,66.9,38.7,28.4
SSP2-4.5,2041,28,37.9,150.2,9.3,308.7,66.5,43.6,32.4,71.2,39.1,29
SSP2-4.5,2042,10.3,22.3,136.5,8.7,350.7,53.7,36.2,23.6,61.4,35.3,27.5
SSP2-4.5,2043,28,45.6,138,9.1,293.9,73.9,57.6,43.7,75.2,38.7,28.1
SSP2-4.5,2044,26.9,33.4,134.6,9.2,326.6,57.3,46.2,37.4,67.1,37,28.6
SSP2-4.5,2045,16.6,28.5,140.4,8.8,338.4,56.2,40.7,28.6,68.5,36.7,27.9
SSP2-4.5,2046,29.6,43.5,151.1,8.9,345.8,71.5,54.6,38.1,77.8,37.8,28.8
SSP2-4.5,2047,24.7,34.9,133.3,8.8,315.5,65.7,46.1,34.7,66.9,36.6,28.6
